title,female_count,male_count,popularity,female_percentage,male_percentage
Dirty Pair: The Movie,131,645,5147,16.88,83.12
Dive!!,1482,1163,2183,56.03,43.97
Divergence Eve,247,1542,3868,13.81,86.19
Do S na Seitokaichou-sama ga M Note ni Shihai Saremashita.,11,170,7183,6.08,93.92
Dog Days&#039; Specials,122,649,4499,15.82,84.18
Dokidoki Oyako Lesson: Oshiete H na Obenkyou,92,833,4612,9.95,90.05
Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress,175,246,6517,41.57,58.43
Donten ni Warau,3791,4125,1105,47.89,52.11
Doraemon Movie 02: Nobita no Uchuu Kaitakushi,54,185,7399,22.59,77.41
Doraemon Movie 06: Nobita no Little Star Wars,64,202,7353,24.06,75.94
Doraemon Movie 08: Nobita to Ryuu no Kishi,81,243,7044,25.0,75.0
Doraemon Movie 09: Nobita no Parallel Saiyuuki,69,205,7268,25.18,74.82
Doraemon Movie 14: Nobita to Buriki no Labyrinth,70,242,7109,22.44,77.56
Doraemon Movie 15: Nobita to Mugen Sankenshi,78,249,7091,23.85,76.15
Doraemon Movie 16: Nobita no Sousei Nikki,51,156,7789,24.64,75.36
Doraemon Movie 17: Nobita to Ginga Express,86,245,6901,25.98,74.02
Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,72,209,7381,25.62,74.38
Doraemon Movie 22: Nobita to Tsubasa no Yuusha-tachi,68,240,7089,22.08,77.92
Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,71,212,7427,25.09,74.91
Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,57,167,7844,25.45,74.55
