studio,animes,sources,genres,male_score,female_score
AIC ASTA,"Persona 3 the Movie 1: Spring of Birth, Persona 4 the Animation: Mr. Experiment Shorts, Lovedol: Lovely Idol, Bamboo Blade: Fanfu-Fufe-Fo, Tokimeki Memorial: Only Love, Lovedol: Lovely Idol OVA, Jinrui wa Suitai Shimashita, Kawasaki Frontale x Tentai Senshi Sunred, Tokimeki Memorial: Only Love Specials, Tentai Senshi Sunred: Short Corner, Persona 4 the Animation: A Brief Lesson on Izanagi & Izanami, Gun x Sword-san, Sora no Otoshimono: Project Pink, Jinrui wa Suitai Shimashita: Ningen-san no, Yousei-san Memo, Tentai Senshi Sunred, Tentai Senshi Sunred 2nd Season, Bamboo Blade, Shinkon Gattai Godannar!!, Jinrui wa Suitai Shimashita Specials, Sora no Otoshimono: Tokeijikake no Angeloid, Persona 4 the Animation: No One is Alone, Kigurumikku V3, To Heart: Remember My Memories, To Heart: Remember My Memories Specials, Sora no Otoshimono, Aura: Maryuuin Kouga Saigo no Tatakai, Persona 4 the Animation, Gun x Sword, Persona 4 the Animation: The Factor of Hope, Kawasaki Frontale x Tentai Senshi Sunred 2nd Season, Sora no Otoshimono Forte, Magical Canan, Shinkon Gattai Godannar!! 2nd Season","Visual novel, Light novel, Manga, Game, Original, Unknown","Comedy, Sci-Fi, Action, Adventure, Drama, Sci-Fi, Adventure, Mystery, Sci-Fi, Supernatural, Action, Adventure, Mystery, Sci-Fi, Supernatural, Comedy, Adventure, Comedy, Fantasy, Action, Avant Garde, Comedy, Romance, Comedy, Sports, Fantasy, UNKNOWN, Comedy, Drama, Ecchi, Comedy, Fantasy, Sci-Fi, Ecchi, Action, Adventure, Mystery, Supernatural, Comedy, Fantasy, Romance, Sci-Fi, Ecchi, Drama, Fantasy, Supernatural, Drama, Romance, Sci-Fi, Slice of Life, Action, Fantasy, Supernatural, Drama, Romance, Comedy, Romance, Sci-Fi, Ecchi, Comedy, Ecchi, Comedy, Fantasy",0.0,0.0
AIC Build,"Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials, Boku wa Tomodachi ga Sukunai, Koi to Senkyo to Chocolate: Ikenai Hazuki-sensei, Koi to Senkyo to Chocolate, Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai, Boku wa Tomodachi ga Sukunai Next, Koi to Senkyo to Chocolate: Koi Imouto!, Ore no Imouto ga Konnani Kawaii Wake ga Nai, Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi","Visual novel, Light novel, Unknown","Comedy, Comedy, Romance, Ecchi, Drama, Romance, Comedy, Romance",,6.75
AIC Classic,"Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA, Kotoura-san: Haruka no Heya, Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu, Hourou Musuko, Kotoura-san, Hourou Musuko Specials, Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials","Manga, Unknown, 4-koma manga","Comedy, Drama, Drama, Romance, Comedy, Ecchi, Comedy, Drama, Romance",8.0,0.0
AIC Frontier,"Tenshi no Drop, Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV, Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo","Original, Unknown, Web manga","Comedy, Comedy, Ecchi",,
AIC PLUS+,"GA: Geijutsuka Art Design Class, Quiz Magic Academy: The Original Animation 2, Date A Live: Date to Date, Nekogami Yaoyorozu, Quiz Magic Academy: The Original Animation, GA: Geijutsuka Art Design Class: Aozora ga Kakitai, Asobi ni Iku yo!: Asobi ni Oide, Asobi ni Iku yo!: Asobi ni Oide - Owari, Pupipo!, Super Seisyun Brothers, Ai Tenchi Muyou!, Date A Live, Nekogami Yaoyorozu: Ohanami Ghostbusters, Ai Tenchi Muyou! Recaps, G-Taste (2010), Nekogami Yaoyorozu Specials, Asobi ni Iku yo!, Nana to Kaoru","Light novel, Manga, Game, Original, Web manga, 4-koma manga","Comedy, Sci-Fi, Action, Comedy, Fantasy, Romance, Sci-Fi, Comedy, Comedy, Supernatural, Comedy, Romance, Ecchi, Comedy, Slice of Life, Supernatural, Girls Love, Ecchi, Comedy, Slice of Life, Comedy, Romance, Sci-Fi, Ecchi",,5.0
AIC Project,Jewelpet: Attack Chance!?,Original,"Comedy, Fantasy",,
AIC Spirits,"Moegaku★5, Isekai no Seikishi Monogatari, Sasami: Mahou Shoujo Club 2, Sasami: Mahou Shoujo Club, Maken-Ki! OVA, Ga-Rei: Zero, Viper's Creed, Tokyo Majin Gakuen Kenpucho: Tou, Tokkou, Girls Bravo: Second Season, Yoshimune, Tenbatsu Angel Rabbie☆, Maken-Ki!, Girls Bravo: First Season, Burn Up Scramble, Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku, Strike Witches 2, Maken-Ki! Specials, Goshuushou-sama Ninomiya-kun","Visual novel, Light novel, Manga, Other, Game, Unknown, Original","Comedy, Sci-Fi, Action, Drama, Fantasy, Horror, Mystery, Action, Comedy, Horror, Mystery, Supernatural, Comedy, Action, Comedy, Fantasy, Ecchi, Sports, Ecchi, Action, Sci-Fi, Fantasy, Action, Sci-Fi, Ecchi, UNKNOWN, Comedy, Fantasy, Ecchi, Comedy, Fantasy, Romance, Ecchi, Action, Ecchi, Action, Supernatural, Suspense, Action, Comedy, Drama, Mystery, Sci-Fi, Ecchi, Action, Drama, Fantasy, Horror, Supernatural",0.0,0.0
AIC Takarazuka,Megane na Kanojo,Manga,"Comedy, Romance",,
AION Studio,SpoGomi: World Cup Exhibition Match-hen,Original,Sports,,
AMGA,Bi-Indoushi Miija: Injoku no Gakuen,Unknown,Hentai,,
ANIDO FILM,Kono Hoshi no Ue ni,Original,"Adventure, Fantasy, Slice of Life",,
APPP,"Suika: Manatsu no Okurimono, Souten no Ken, JoJo no Kimyou na Bouken: Phantom Blood, Cream Lemon, Kurogane Communication, Souten no Ken Specials, Golden Boy, Angelium, JoJo no Kimyou na Bouken, Sexy Sailor Soldiers, Ore no Sora Keiji-hen, JoJo no Kimyou na Bouken: Adventure, Suika, Hokuto no Ken: Toki-den, Sci-fi Harry, Roujin Z, Kage (OVA), Dakaretai Onna, Project A-Ko, Kachou Ouji, JoJo no Kimyou na Bouken: Phantom Blood Pilot, Street Fighter Alpha: Generations, Tabidachi: Ami Shuushou, Project A-Ko 2: Daitokuji Zaibatsu no Inbou, Omishi Mahou Gekijou: Risky★Safety, Robot Carnival","Visual novel, Manga, Game, Original, Unknown","Action, Adventure, Drama, Sci-Fi, Action, Action, Comedy, Sci-Fi, Adventure, Fantasy, Sci-Fi, Comedy, Action, Adventure, Comedy, Sci-Fi, Adventure, Comedy, Sci-Fi, Slice of Life, Comedy, Fantasy, Sci-Fi, Hentai, Action, Supernatural, Romance, Hentai, Drama, Fantasy, Hentai, Action, Adventure, Horror, Adventure, Comedy, Ecchi, Hentai, Action, Drama, Award Winning, Comedy, Drama, Sci-Fi, Adventure, Drama, Fantasy, Horror, Supernatural, Action, Hentai, Drama, Romance, Drama, Horror, Sci-Fi, Action, Comedy, Hentai",4.0,3.0
AQUA ARIS,"Eiyuu-ou, Bu wo Kiwameru Tame Tenseisu Mini Anime, Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 4th Season, Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime Episode 0, Chiyuki no Fashion Check, Mamono-tachi no Kunou, Yuusei Koukou Tenmon-bu, Yofukashi no Uta Mini, Kumichou Musume to Sewagakari Picture Drama, Kanojo, Okarishimasu Petit, Celia-sensei no Wakuwaku Magical Kyoushitsu, Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 5th Season, Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama Specials, No Guns Life Mini, Kanojo, Okarishimasu Petit 2nd Season, Kanojo, Okarishimasu Petit Special, Adachi to Shimamura Mini Anime, Peach Boy Riverside Mini Anime, Mahoutsukai Reimeiki Mini Anime, Minegishi-san wa Ootsu-kun ni Tabesasetai, Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita, Shitasaki kara Koi, Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama, Katarina Nounai Kaigi, Slime-tachi no Idobata Kaigi, Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω Mini Anime, Shin Shinka no Mi Gekijou, Shaman King (2021): Funbari Onsen Hanjouki, Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 3rd Season, Petit! Tokyo Mew Mew New ♡, Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀ Mini Anime, Ijiranaide, Nagatoro-san 2nd Attack Mini Anime, Saikyou Onmyouji Mini, Machikado Mazoku Mini, Kyokou Uranai, Tsugu Tsugumomo Mini Anime, Katarina to Manabou, Ore, Tsushima (ONA), Tensei Mae no Ryouma to Tabuchi, Kanojo, Okarishimasu: Date Movie, Chiichai! Maou-sama!!, Ao no Orchestra: 5-bu de Tanoshii Classic, Aharen-san wa Hakarenai Mini, Kobayashi-san no Tsundere Kouza, Maou-sama, \"Petit\" Retry!, Ore, Tsushima x Na Mo Naki Nezumi, Slime-tachi no Idobata Kaigi 2nd Season, Tsugu Tsugumomo Mini Anime Specials, Yuusha, Yamemasu Puchi Hiroma, Kanojo, Okarishimasu 2nd Season: Date Movie, Katarina Nounai Kaigi X, Saezuru Doubutsu wa Yarushikanai!, Eizouken Mini Anime, Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life Mini Anime, Shuumatsu no Walküre II Mini Anime, Saezuru Doubutsu wa Yarushikanai! Specials, Akuyaku Reijou nanode Last Boss wo Kattemimashita Mini, Machikado Mazoku: 2-choume Mini, Kakkou no Iikagen, Runway de Waratte Mini Anime, Kyokou Suiri Mini Anime Season 2, Mashiro no Oto Mini, Blue Reflection Ray!, Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 2nd Season, Kyokou Suiri Mini Anime, Petit Cool Doji Danshi no Hitokoma","Light novel, Manga, Other, Game, Novel, Original, Unknown, Web manga, 4-koma manga","Comedy, Sci-Fi, Boys Love, Slice of Life, Comedy, Slice of Life, Supernatural, Action, Fantasy, Boys Love, Fantasy, Comedy, Slice of Life, Comedy, Romance, Fantasy, Comedy, Fantasy, Slice of Life, UNKNOWN, Comedy, Supernatural, Romance, Comedy, Fantasy, Romance, Comedy, Fantasy, Boys Love, Comedy",,
ARCUS,"Day by Day (2023), Ain't Seen Nothing Like This, Azur Lane Valentine Special Mission",Game,"Action, Fantasy, Slice of Life, Gourmet, Slice of Life",,
ARECT,"Bright: Samurai Soul, Yakitori","Original, Novel","Action, Adventure, Fantasy, Action, Sci-Fi",,
ASK Animation Studio,"Wangu Xian Qiong IV: Yin Yue Cheng Pian, Wangu Xian Qiong II, Wangu Xian Qiong III: Eren Gu Pian, Jintian Kaishi Zuo Mingxing, Zuihou de Zhaohuan Shi, Wu Tian Yu Shang 2035","Manga, Novel, Web manga","Action, Adventure, Fantasy, Adventure, Comedy, Fantasy, Comedy, Slice of Life, Action, Adventure, Drama, Fantasy, Action, Sci-Fi",,
AT-2,"Shintaisou: Shin, Yuuwaku, Yakin Byoutou, Yakin Byoutou Kranke, Gekka Bijin, Ryokan Shirasagi, Seijun Kango Gakuin, Panchira Teacher, Mashou no Kao, Blood Royale, Yakin Byoutou San, Guren, Hana no Joshi Announcer: Newscaster Etsuko, Tokineiro, Pigeon Blood, Yakin Byoutou Specials, Unbalance","Visual novel, Original","Hentai, Comedy, Hentai",,
AXsiZ,"Ulysses: Jehanne Darc to Renkin no Kishi, Maesetsu!, Ramen Daisuki Koizumi-san, Koukaku no Pandora, Wagamama High Spec, Tonari no Kyuuketsuki-san, Shuumatsu no Harem, Seiren, Yumemiru Danshi wa Genjitsushugisha, Kiniro Mosaic: Thank You!!, Kiniro Mosaic: Pretty Days, Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou","Visual novel, Light novel, Manga, Original, 4-koma manga","Comedy, Gourmet, Action, Fantasy, Ecchi, Comedy, Action, Comedy, Sci-Fi, Ecchi, Romance, Comedy, Supernatural, Sci-Fi, Ecchi, Comedy, Slice of Life, Comedy, Fantasy, Comedy, Romance",,
Academy Productions,"Uchuu Senkan Yamato III, Uchuu Kuubo Blue Noah, Uchuu Senkan Yamato (Movie)",Original,"Action, Adventure, Drama, Sci-Fi, Action, Drama, Sci-Fi, Drama, Sci-Fi",,
Acca effe,"Strike Witches: 501 Butai Hasshin Shimasu! Movie, Haishin Yuusha, World Witches Hasshin Shimasu!, Strike Witches: 501 Butai Hasshin Shimasu!","Manga, Original","Comedy, Sci-Fi, Comedy, Comedy, Fantasy",,
Actas,"Yutori-chan, Mazinkaiser SKL, Transformers: Robot Masters, Princess Principal: Crown Handler Movie 3, Princess Principal: Ange Report, Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Recap, Transformers Superlink, Switch, Girls & Panzer: Saishuushou Part 3 Specials, eX-Driver the Movie, Girls & Panzer Movie, Transformers Superlink Special, Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza, Girls & Panzer: Saishuushou Part 4, The iDOLM@STER Live For You!, Eiyuu Kyoushitsu, Girls & Panzer, Moetan, Girls & Panzer Specials, Girls & Panzer Movie: Cinematic Concert - Fushou Akiyama Yukari no Sensha Kouza - Shoujun-hen, Girls & Panzer: Saishuushou Part 5, Regalia: The Three Sacred Stars, Mayo Elle Otoko no Ko, Mermaid Melody Pichi Pichi Pitch, Girls & Panzer Movie: 3-pun Chotto de Wakaru!! Girls & Panzer, Girls & Panzer: Kore ga Hontou no Anzio-sen desu!, Kowarekake no Orgel: Manner Movie, eX-Driver, Long Riders!, Girls & Panzer Heartful Tank Disc Picture Drama, Chou Robot Seimeitai Transformers Micron Densetsu, Princess Principal, Kowarekake no Orgel (Movie), Bouken Yuuki Pluster World, Girls & Panzer: Saishuushou Part 6, Princess Principal: Crown Handler Movie 1 - Busy Easy Money, eX-Driver: Nina & Rei Danger Zone, Ajimu: Kaigan Monogatari, Cyborg 009 VS Devilman, Tales of Phantasia The Animation, Shin Megami Tensei Devil Children: Light & Dark, Gozonji! Gekkou Kamen-kun, Girls & Panzer: Saishuushou Part 3, Princess Principal Picture Drama, Ai Shimai 2: Futari no Kajitsu, Tactical Roar, Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza - Extra, Moetan Specials, Girls & Panzer: Shoukai Shimasu!, Long Riders! Recap, Regalia: The Three Sacred Stars Recaps, Mermaid Melody Pichi Pichi Pitch Pure, Princess Principal: Crown Handler Movie 2, Koutetsushin Jeeg, Girls & Panzer: Saishuushou Part 2 Specials, Girls & Panzer: Nihon Senshadou Renmei News, Girls & Panzer: Saishuushou Part 1, Princess Principal: Crown Handler Movie 1, Girls & Panzer: Saishuushou Part 2, Girls & Panzer Movie Specials","Visual novel, Light novel, Manga, Other, Game, Unknown, Original","Comedy, Sci-Fi, Sci-Fi, Adventure, Sci-Fi, Action, Comedy, Mystery, Action, Fantasy, Ecchi, Comedy, Action, Adventure, Sci-Fi, Comedy, Drama, Action, Adventure, Comedy, Sci-Fi, Action, Adventure, Fantasy, Sci-Fi, Supernatural, Adventure, Fantasy, Comedy, Slice of Life, Drama, Sci-Fi, Slice of Life, Action, Sci-Fi, Comedy, Drama, Romance, Action, Drama, Mystery, Action, Mystery, Sports, Comedy, Romance, Sci-Fi, Hentai, UNKNOWN, Action, Award Winning, Comedy, Slice of Life, Sports, Action, Sci-Fi, Supernatural, Comedy, Ecchi, Adventure, Comedy, Romance",,6.0
Adonero,"Dogeza de Tanondemita: Isekai-hen, Dogeza de Tanondemita",Web manga,"Comedy, Fantasy, Ecchi",,
Agent 21,"Dragon Fist, Dark Cat, Elf 17, Dominion",Manga,"Comedy, Sci-Fi, Adventure, Comedy, Action, Horror, Supernatural, Drama, Fantasy",,
Ai Si Animation Studio,Gu Xiong,Original,"Action, Slice of Life",,
Ai Yume Mai,"Tsuki Kagerou, Kibun Kibun","Visual novel, Manga",Hentai,,
Aiko,Hitozuma Cosplay Kissa,Visual novel,Hentai,,
Aiti St.,"Rankou Choukyou: Maid ni Natta Shoujo, Leatherman",Manga,Hentai,,
Ajia-do,"Wind: A Breath of Heart, Kemono Jihen, Isekai Maou to Shoukan Shoujo no Dorei Majutsu, Kaiketsu Zorori, Miyanishi Tatsuya Gekijou: Omae Umasou da na, J League wo 100-bai Tanoshiku Miru Houhou!!, Spirit of Wonder: China-san Tanpenshuu, DD Hokuto no Ken 2 Ichigo Aji+, Spirit of Wonder: China-san no Yuuutsu, Anime Rakugo Kan, Bokura no Nanokakan Sensou, Nintama Rantarou, Genshiken OVA, Spirit of Wonder: Shounen Kagaku Club, Ankoku Shinwa, Kujibiki♥Unbalance, Omae Umasou da na, Nintama Rantarou no Uchuu Daibouken with Cosmic Front☆Next, Azumanga Web Daiou, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA, Motto! Majime ni Fumajime Kaiketsu Zorori, Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season, Twilight Q, Kaze no Toori Michi, Shiratori Reiko de Gozaimasu!, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season, Nintama Rantarou: Saraba Ninjutsu Gakuen no Dan, Magic Tree House, Revenger, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen, Let's Nupu Nupu, Kaiketsu Zorori Movie: Lalala♪ Star Tanjou, Mahou no Star Magical Emi: Kumo Hikaru, Majime ni Fumajime Kaiketsu Zorori, Licca-chan to Yamaneko Hoshi no Tabi, Samurai Spirits 2: Asura Zanmaden, Motto! Majime ni Fumajime Kaiketsu Zorori 3rd Season, Hikyou Tanken Fam & Ihrlie, Maison Ikkoku: Kanketsu-hen, Yokohama Kaidashi Kikou, Licca-chan Fushigi na Fushigi na Yunia Monogatari, Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan, Eikoku Koi Monogatari Emma: Molders-hen, Yokohama Kaidashi Kikou: Quiet Country Cafe, Kaiketsu Zorori Da-Da-Da-Daibouken!, Kakushigoto, Nintama Rantarou: Ninjutsu Gakuen to Nazo no Onna - Kore wa Jiken da yo! no Dan, Kakushigoto Movie, Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season, Licca-chan no Nichiyoubi, Nintama Rantarou: Dokutake Onsen no Dan, Shuumatsu no Izetta, Wankorobee, Kaiketsu Zorori Movie: Uchuu no Yuusha-tachi, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Recap, DD Hokuto no Ken (2013), Zettai Shounen, Kakkun Cafe, Nintama Rantarou Movie, Licca-chan Fushigi na Mahou no Ring, Mission School","Visual novel, Picture book, Light novel, Manga, Other, Book, Game, Original, Unknown, Novel, 4-koma manga","Comedy, Sci-Fi, Adventure, Comedy, Adventure, Comedy, Action, Mystery, Supernatural, Mystery, Sci-Fi, Action, Fantasy, Fantasy, Horror, Mystery, Supernatural, Action, Comedy, Drama, Adventure, Fantasy, Comedy, Romance, Comedy, Slice of Life, Comedy, Drama, Romance, Action, Adventure, Fantasy, Comedy, Sports, Sci-Fi, Slice of Life, Action, Drama, Mystery, Romance, Sci-Fi, Fantasy, UNKNOWN, Drama, Fantasy, Mystery, Sci-Fi, Comedy, Fantasy, Ecchi, Action, Adventure, Comedy, Fantasy, Drama, Romance, Drama, Sci-Fi, Comedy, Fantasy, Comedy, Ecchi",0.0,5.0
Akatsuki,"Irodorimidori, Session High⤴, Still, C Danchi, Kirameki Inokori Daisensou","Game, Original","Slice of Life, UNKNOWN, Horror",,
Albacrow,Breakers,Original,Sports,,
Alfred Imageworks,Nanatsu no Taizai: Ensa no Edinburgh,Manga,"Action, Adventure, Fantasy, Supernatural",,
Alice Production,"Five Card, Kokudo Ou",Visual novel,"Comedy, Hentai, Fantasy, Hentai",,
Alpha Animation,"Zhandou Wang Zhi Jufeng Zhan Hun 5, Ba La La Xiao Mo Xian: Caihong Xin Shi, Zinba, Huan Bian Jingling: Dangao Tianxin, Ji Jia Shou Shen: Baolie Feiche, Zhandou Wang Zhi Jufeng Zhan Hun 5: Heti Fanwai Pian","Unknown, Original","Action, Comedy, Action, Adventure, Adventure, Comedy, Action, Adventure, Comedy",,
Amarcord,Shoujo Sect,Manga,"Girls Love, Hentai",,
Amineworks,Idol Bu Show Movie,Mixed media,UNKNOWN,,
An DerCen,"Trick or Alice, Kuro to Kin no Akanai Kagi.",Visual novel,"Fantasy, Erotica",,
Angle,"Kikenshingou Goddess, Pacalien (Special), Eiga no Yousei: Fill and Moo, Pacalien",Original,"Comedy, Comedy, Horror, Sci-Fi, Adventure, Fantasy",,
Anima,".hack//The Movie: Sekai no Mukou ni, Altered Carbon: Resleeved, Sand Land, Monster Strike The Animation Episode 0, Tales of Luminaria: The Fateful Crossroad, Monster Strike the Movie: Lucifer - Zetsubou no Yoake, Cat Shit One, .hack//Versus: The Thanatos Report, Gunnm 3D Special, Monster Strike Anime: Kieyuku Uchuu-hen, Monster Strike The Animation","Manga, Other, Game","Action, Adventure, Fantasy, Supernatural, Fantasy, Action, Fantasy, Action, Adventure, Fantasy, Mystery, Sci-Fi, Action, Drama, Sci-Fi, Action, Sci-Fi, Action, Sci-Fi, Sports",,
Anima&Co.,"Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana Recap, Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana OVA, Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana",Original,"Action, Fantasy, Mystery, Action, Fantasy",,
Animaruya,"Shin Dousei Jidai: Hawaiian Breeze, Android Ana Maico 2010, Guskou Budori no Denki","Manga, Novel, Unknown","Comedy, Drama, Sci-Fi, Drama, Drama, Romance",,
Animation 21,"Honoo no Toukyuuji: Dodge Danpei, Pokonyan!, Fujiko F. Fujio: Sukoshi Fushigi Tanpen Theater, Kennel Tokorozawa, Oi! Ryouma, Salad Juu Yuushi Tomatoman","Manga, Unknown","Comedy, Sports, Adventure, Drama, Adventure, Comedy, Comedy, Fantasy, Comedy, Ecchi, Adventure, Sci-Fi",,
Animation 501,Milky Passion: Dougenzaka - Ai no Shiro,Manga,Romance,,
Animation Do,"Free! Dive to the Future, Free! Dive to the Future - Soushun no Build-up!, Free! Eternal Summer: Kindan no All Hard!, Free!: FrFr - Short Movie, Free!, Free! Eternal Summer, Free! Movie 2: Timeless Medley - Yakusoku, Free! Movie 3: Road to the World - Yume, Free! Take Your Marks, Free! Movie 1: Timeless Medley - Kizuna","Light novel, Original","Comedy, Sports, Sports, Slice of Life, Comedy, Comedy, Slice of Life",,4.5
Animation Lab Japan,Kaigo to Ikiru,Original,Drama,,
Animation Planet,"School Days ONA, Hoshi no Shima no Nyanko","Visual novel, Game","Adventure, Slice of Life, Drama, Romance",0.0,
Animation Staff Room,"Koushoku Ichidai Otoko, Hermes: Ai wa Kaze no Gotoku, Gokiburi-tachi no Tasogare, Penguin's Memory: Shiawase Monogatari, Ashita Kirarin, Umi no Triton","Manga, Other, Original, Unknown, Novel","Drama, Drama, Fantasy, Adventure, Fantasy, Drama, Hentai",,
Anime Antenna Iinkai,"Rensa Byoutou, Kedamono-tachi no Sumu Ie de, Ikusa Otome Suvia Special, Rape! Rape! Rape! DVD-Box Special, Taimanin Asagi, Ikusa Otome Suvia, Natsuyasumi Ake no Kanojo wa..., Ane☆Haramix, Rei Zero, Ryuudouji Shimon no Inbou, Makai Kishi Ingrid, Inbo, Kangoku Senkan, Soukou Seiki Ysphere: Ingyaku no Sennou Kaizou, Toriko no Shizuku: Natsu no Gouka Kyakusen de Kegasareru Otome-tachi, Mesu Kyoushi: Injoku no Kyoushitsu, Samurai Hormone The Animation, Sei Dorei Gakuen 2, Dorei Maid Princess, Jokei Kazoku III: Himitsu - The Anime, Maid-san to Boin Damashii, Oujo & Onna Kishi W Do Gehin Roshutsu, Tokubetsu Jugyou 3 SLG The Animation, The Guts!, Inyouchuu Shoku: Ryoushokutou Taimaroku, Mahou Shoujo Noble Rose The Animation, Mashou no Nie 3, Tokumu Sousakan Rei & Fuko, Shion Special, Bitch Gakuen ga Seijun na Hazu ga Nai!!? The Animation, Ryuusei Tenshi Primaveil, Shion, Inko, Uchuu Kaizoku Sara, Soukou Kijo Iris Special, Imouto Paradise!, Uchuu Kaizoku Sara Special, Enzai, Mahou Shoujo Ai San: The Anime, Zettai Junshu☆Kyousei Kozukuri Kyokashou!!, Imouto Paradise! 3 The Animation, Nightmare x Deathscythe: Hangyaku no Resonance, Soukou Kijo Iris, Zoku Oujo & Onna Kishi W Do Gehin Roshutsu: Chijoku no Misemono Dorei, Himekishi Lilia, Rape! Rape! Rape!, Newmanoid Cam: Cam Castin, Inyouchuu Shoku: Ryoushokutou Taimaroku - Kanzenban","Visual novel, Manga, Game, Original","Fantasy, Horror, Supernatural, Hentai, Action, Fantasy, Supernatural, Hentai, Sci-Fi, Hentai, Hentai, Horror, Supernatural, Hentai, Boys Love, Drama, Horror, Hentai, Fantasy, Hentai, Action, Supernatural, Hentai, Supernatural, Hentai, Sci-Fi, Supernatural, Hentai",,6.0
